epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,766.311,1.61521,6.04036,0.39636,1.48007,2.07433,0.90052,0.7971,0.88956,0.38102,0.18357,0.11594,0.0442,0.00662,1.84493,6.78052,0.23536,1.31053,2.50927,0.000922942,0.000922942,0.000922942
56,779.361,1.55519,6.16992,0.42341,1.45236,2.01903,0.76239,0.79057,0.85752,0.35674,0.43077,0.14493,0.13683,0.02117,1.89649,6.55274,0.25143,1.34275,2.512,0.000920142,0.000920142,0.000920142
57,794.337,1.63321,6.10887,0.42304,1.50702,2.1292,0.86816,0.72464,0.86581,0.39432,0.33659,0.18841,0.14111,0.02917,1.77189,6.29964,0.24566,1.22569,2.38992,0.000917296,0.000917296,0.000917296
58,807.48,1.58951,6.01633,0.39294,1.4947,2.1086,0.92589,0.7971,0.86883,0.3848,0.16299,0.13043,0.04691,0.00708,1.84855,6.83561,0.23573,1.24623,2.48404,0.000914405,0.000914405,0.000914405
59,821.366,1.5967,6.10702,0.39952,1.46917,2.06966,0.93408,0.82152,0.8988,0.46271,0.18616,0.10145,0.04033,0.00537,1.57015,6.4426,0.24067,1.09118,2.22762,0.000911469,0.000911469,0.000911469
60,834.898,1.602,5.9284,0.41095,1.43606,2.10454,0.89967,0.71014,0.78527,0.30578,0.24677,0.15942,0.07992,0.01032,1.97182,6.84655,0.23364,1.32595,2.5931,0.000908488,0.000908488,0.000908488
61,848.64,1.61651,5.95409,0.39732,1.4998,2.11001,0.81712,0.75362,0.84317,0.3854,0.52308,0.19082,0.15634,0.03021,1.74831,6.65457,0.26738,1.28541,2.36154,0.000905463,0.000905463,0.000905463
62,862.06,1.55423,5.88138,0.39834,1.45724,2.06306,0.81273,0.8177,0.9057,0.38396,0.41311,0.18841,0.13159,0.02586,1.89882,6.39644,0.26221,1.17956,2.50018,0.000902395,0.000902395,0.000902395
63,875.772,1.59671,5.73362,0.37882,1.46678,2.04278,0.85715,0.86962,0.92567,0.42581,0.44479,0.18841,0.13564,0.02154,1.66822,6.18165,0.23152,1.1477,2.30616,0.000899282,0.000899282,0.000899282
64,889.93,1.59337,5.89876,0.42444,1.44626,2.07205,0.8458,0.86957,0.91373,0.40145,0.23588,0.15942,0.07377,0.01192,1.80176,6.44925,0.23752,1.18122,2.41541,0.000896127,0.000896127,0.000896127
65,903.991,1.58275,5.73765,0.40082,1.42095,2.0383,0.90023,0.91545,0.92747,0.43377,0.25515,0.2029,0.09529,0.01354,1.71434,6.42307,0.2495,1.09054,2.38787,0.000892928,0.000892928,0.000892928
66,918.868,1.58155,5.99318,0.40957,1.43166,2.05963,0.85152,0.89855,0.90917,0.39848,0.26788,0.23188,0.13876,0.02215,1.82751,6.27466,0.2821,1.13009,2.54489,0.000889687,0.000889687,0.000889687
67,932.593,1.55041,5.77214,0.38495,1.37606,2.05453,0.84021,0.84058,0.84671,0.32605,0.23598,0.18841,0.13736,0.02397,2.09753,6.23329,0.23362,1.26299,2.82995,0.000886404,0.000886404,0.000886404
68,946.335,1.59441,5.89948,0.40956,1.42382,2.06978,0.83123,0.81159,0.86532,0.40941,0.17985,0.2029,0.0671,0.01151,1.83742,6.0688,0.25366,1.23428,2.53084,0.000883079,0.000883079,0.000883079
69,959.616,1.51555,5.86525,0.39659,1.36177,1.9861,0.91419,0.77209,0.85721,0.39399,0.23835,0.2029,0.06395,0.01064,1.90741,6.11547,0.25009,1.2039,2.5988,0.000879713,0.000879713,0.000879713
70,973.046,1.5522,5.78328,0.39177,1.44086,2.04069,0.90537,0.82609,0.88982,0.38786,0.19189,0.18841,0.05513,0.00877,1.91793,6.21446,0.25425,1.11562,2.57869,0.000876305,0.000876305,0.000876305
71,986.574,1.5955,5.80446,0.38729,1.34715,2.07159,0.83989,0.83632,0.88144,0.37331,0.18916,0.15942,0.0579,0.00944,1.93234,6.38009,0.27597,1.20464,2.58378,0.000872857,0.000872857,0.000872857
72,999.958,1.6022,5.8163,0.39498,1.40872,2.05515,0.88596,0.84058,0.87123,0.3321,0.28568,0.18841,0.1062,0.02185,2.07532,6.20398,0.28728,1.16435,2.69901,0.000869368,0.000869368,0.000869368
73,1013.56,1.58825,5.98577,0.41563,1.38161,2.06203,0.96607,0.82542,0.92047,0.43081,0.25662,0.2029,0.12167,0.02406,1.78359,6.09012,0.25002,1.10903,2.39317,0.000865839,0.000865839,0.000865839
74,1026.96,1.52815,6.0322,0.41777,1.36132,2.01254,0.90559,0.82609,0.9039,0.39485,0.27922,0.28637,0.12425,0.02361,1.80641,6.02207,0.24962,1.18677,2.40142,0.000862271,0.000862271,0.000862271
75,1040.31,1.55979,5.78924,0.39083,1.40542,2.03081,0.94467,0.84058,0.92404,0.4571,0.31675,0.34783,0.21686,0.03879,1.63933,5.80038,0.23,1.04616,2.28598,0.000858664,0.000858664,0.000858664
76,1053.59,1.47286,5.61559,0.38432,1.29896,1.994,0.98379,0.87935,0.93953,0.45679,0.34187,0.30435,0.22656,0.04313,1.64454,5.94141,0.22786,0.97456,2.30019,0.000855018,0.000855018,0.000855018
77,1066.91,1.58324,5.88321,0.40721,1.40662,2.06506,0.91006,0.88406,0.92328,0.39317,0.29425,0.27536,0.1925,0.03917,1.86604,5.84189,0.22844,1.01945,2.51454,0.000851333,0.000851333,0.000851333
78,1080.09,1.54416,5.59574,0.39455,1.3717,2.00597,0.85384,0.85507,0.89826,0.46136,0.22995,0.2029,0.12311,0.02337,1.59732,5.94114,0.23946,1.01739,2.25132,0.000847611,0.000847611,0.000847611
79,1093.33,1.55087,5.68496,0.39096,1.41685,2.04452,0.89531,0.88406,0.9204,0.46971,0.28618,0.28986,0.13235,0.02833,1.67584,5.9726,0.24593,0.963,2.3127,0.000843851,0.000843851,0.000843851
80,1106.45,1.54408,5.47249,0.37141,1.29178,2.00408,0.88462,0.88897,0.93301,0.47057,0.2289,0.27536,0.10914,0.02403,1.6165,5.9659,0.23916,1.04246,2.27285,0.000840054,0.000840054,0.000840054
81,1119.58,1.51488,5.79882,0.37713,1.33663,1.99692,0.90828,0.86117,0.91707,0.45455,0.2908,0.33333,0.13849,0.02685,1.61689,5.9118,0.23863,1.02927,2.2635,0.00083622,0.00083622,0.00083622
82,1132.94,1.5668,5.69507,0.39017,1.40227,2.01557,0.88855,0.7971,0.86598,0.36654,0.29297,0.26087,0.13984,0.02179,1.89375,6.14138,0.25189,1.21968,2.51473,0.000832349,0.000832349,0.000832349
83,1145.79,1.54304,5.60146,0.37532,1.39433,2.0193,0.92383,0.91304,0.91615,0.43801,0.43514,0.30435,0.18576,0.02442,1.69166,6.03382,0.25295,1.10717,2.35574,0.000828443,0.000828443,0.000828443
84,1159.03,1.53321,5.78469,0.39508,1.38159,2.00411,0.8774,0.85507,0.91683,0.49279,0.27663,0.27536,0.15404,0.03685,1.60467,6.06736,0.22173,1.06008,2.19866,0.000824502,0.000824502,0.000824502
85,1171.94,1.50811,5.64876,0.37544,1.39541,2.00243,0.90698,0.84788,0.91321,0.45561,0.34241,0.30435,0.18131,0.04759,1.67167,5.94008,0.23004,1.01738,2.30708,0.000820525,0.000820525,0.000820525
86,1184.95,1.53702,5.65191,0.40321,1.3894,2.04528,0.96061,0.88406,0.93778,0.41186,0.30592,0.27536,0.14672,0.02696,1.83056,5.89804,0.24097,1.00555,2.49905,0.000816514,0.000816514,0.000816514
87,1198.02,1.49935,5.59299,0.36734,1.34077,2.01223,0.92478,0.81159,0.91138,0.44514,0.32124,0.24638,0.16451,0.02208,1.68089,6.01112,0.24194,1.09583,2.3896,0.000812468,0.000812468,0.000812468
88,1211.34,1.51637,5.76013,0.391,1.32913,1.9931,0.88596,0.78823,0.8829,0.43581,0.40513,0.28986,0.20311,0.04308,1.69443,5.86878,0.24833,1.05712,2.36649,0.000808389,0.000808389,0.000808389
89,1225.79,1.54653,5.62467,0.38741,1.36961,2.00148,0.90573,0.85507,0.92557,0.44233,0.46285,0.34783,0.26263,0.04987,1.79558,5.8125,0.26471,0.94097,2.43556,0.000804277,0.000804277,0.000804277
90,1239.29,1.53822,5.75475,0.37601,1.34485,2.00598,0.92427,0.82609,0.92135,0.41798,0.37411,0.27536,0.20741,0.04125,1.79206,5.82339,0.34,0.96742,2.4427,0.000800131,0.000800131,0.000800131
91,1252.42,1.54521,5.71094,0.37157,1.38424,2.01882,0.90943,0.8732,0.93284,0.4181,0.36294,0.2029,0.12914,0.03005,1.87773,5.8675,0.29375,0.98421,2.49419,0.000795954,0.000795954,0.000795954
92,1265.75,1.51667,5.53738,0.39092,1.33289,1.97675,0.93741,0.8682,0.94045,0.47053,0.37734,0.28986,0.16559,0.03065,1.68147,5.74226,0.21768,0.89927,2.32078,0.000791744,0.000791744,0.000791744
93,1278.97,1.50364,5.60806,0.40026,1.30481,1.97311,0.92753,0.88406,0.93408,0.4364,0.31409,0.30529,0.14379,0.0228,1.78914,5.57851,0.21516,0.93034,2.41832,0.000787503,0.000787503,0.000787503
94,1291.74,1.53977,5.74973,0.39864,1.35566,2.03853,0.94855,0.86957,0.92285,0.40111,0.34456,0.26087,0.15354,0.02422,1.88507,5.67465,0.23394,1.08532,2.54903,0.000783231,0.000783231,0.000783231
95,1305.02,1.46018,5.60725,0.39059,1.34068,1.96303,0.86028,0.91304,0.92586,0.42194,0.45751,0.30435,0.2467,0.03801,1.73069,5.63575,0.24041,1.03696,2.40996,0.000778929,0.000778929,0.000778929
