epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,726.113,1.56196,6.08417,0.38937,1.29741,2.11271,0.90592,0.7971,0.89527,0.37196,0.27109,0.24638,0.08749,0.02189,1.92231,5.90287,0.24043,1.11164,2.66,0.000653697,0.000653697,0.000653697
53,739.326,1.56261,6.20442,0.38966,1.31854,2.1003,0.86538,0.84058,0.90757,0.46412,0.19018,0.28931,0.08684,0.01818,1.63491,6.00344,0.23924,1.06269,2.26571,0.000651909,0.000651909,0.000651909
54,753.041,1.50685,5.921,0.3829,1.26807,2.04511,0.89996,0.91267,0.93988,0.43944,0.2871,0.28986,0.11536,0.01726,1.79883,5.90989,0.22476,1.01019,2.4412,0.000650089,0.000650089,0.000650089
55,765.742,1.56154,5.92267,0.38991,1.33683,2.10701,0.95138,0.89855,0.95214,0.47216,0.31188,0.28986,0.10854,0.01897,1.78414,6.02807,0.22049,0.93397,2.38306,0.000648239,0.000648239,0.000648239
56,779.152,1.50495,5.8681,0.39344,1.27105,2.03084,0.96357,0.91304,0.94997,0.51508,0.29666,0.26087,0.16143,0.02299,1.53746,5.96924,0.2226,0.83754,2.18201,0.000646358,0.000646358,0.000646358
57,792.407,1.44547,5.76871,0.38403,1.22554,2.00198,0.90705,0.84859,0.938,0.49274,0.29162,0.27536,0.15587,0.02586,1.56948,6.10104,0.21507,0.89357,2.25323,0.000644446,0.000644446,0.000644446
58,805.739,1.55366,6.13971,0.38543,1.37583,2.06641,0.86466,0.94203,0.92748,0.43963,0.36578,0.27536,0.16567,0.02633,1.65242,6.1746,0.24212,1.00124,2.37859,0.000642504,0.000642504,0.000642504
59,818.767,1.48374,6.03331,0.38596,1.30844,2.00707,0.91358,0.91934,0.94696,0.44141,0.29372,0.26087,0.11551,0.02148,1.72994,6.00564,0.26421,0.94918,2.41497,0.000640532,0.000640532,0.000640532
60,832.176,1.47657,5.88502,0.37928,1.20348,2.01189,0.95626,0.91304,0.9402,0.45435,0.36809,0.36232,0.21395,0.04106,1.78792,5.79038,0.24164,0.89861,2.4557,0.00063853,0.00063853,0.00063853
61,845.036,1.53781,5.81404,0.37647,1.25678,2.02683,0.92288,0.86957,0.94278,0.50445,0.31993,0.33333,0.16071,0.03029,1.64628,5.77334,0.2246,0.83487,2.27798,0.000636498,0.000636498,0.000636498
62,858.236,1.46754,5.74517,0.37662,1.169,1.99385,0.91834,0.86957,0.9466,0.48406,0.32275,0.27536,0.13225,0.02192,1.72303,5.84616,0.23614,0.86259,2.34501,0.000634437,0.000634437,0.000634437
63,871.18,1.51938,5.92939,0.38097,1.27497,2.04943,0.89785,0.89855,0.93792,0.51147,0.40903,0.33333,0.18622,0.03058,1.57368,5.84242,0.23574,0.84778,2.20103,0.000632346,0.000632346,0.000632346
64,885.866,1.49783,5.65023,0.37216,1.20391,2.0259,0.97974,0.88406,0.93553,0.46009,0.29007,0.26087,0.15389,0.03331,1.70568,5.80127,0.22115,0.96038,2.39472,0.000630227,0.000630227,0.000630227
65,899.965,1.47806,5.72294,0.37198,1.25643,2.00778,0.95261,0.88406,0.9502,0.44349,0.29777,0.27536,0.11944,0.02744,1.73128,5.80088,0.20851,0.91,2.39921,0.000628078,0.000628078,0.000628078
66,914.284,1.51205,5.75553,0.3622,1.21963,1.99516,0.89926,0.90567,0.94996,0.45072,0.37277,0.37681,0.16566,0.02994,1.62225,5.77563,0.21661,0.86701,2.265,0.000625901,0.000625901,0.000625901
67,927.797,1.51403,5.69225,0.36856,1.23533,2.08346,0.90076,0.92091,0.938,0.39434,0.27223,0.27536,0.11388,0.01716,1.87496,5.85339,0.21316,0.99405,2.55268,0.000623696,0.000623696,0.000623696
68,941.545,1.49624,5.55366,0.37671,1.24536,2.04539,0.92359,0.89855,0.92858,0.47496,0.23696,0.25658,0.103,0.02125,1.5364,5.8054,0.20204,0.99045,2.2175,0.000621462,0.000621462,0.000621462
69,954.981,1.50677,5.64645,0.38215,1.25572,2.05597,0.85159,0.88406,0.9069,0.41151,0.2231,0.21739,0.09149,0.01829,1.7046,5.89776,0.22562,1.05836,2.44185,0.000619201,0.000619201,0.000619201
70,968.036,1.48136,5.64435,0.35686,1.27109,1.99393,0.98331,0.85395,0.94161,0.37868,0.35326,0.30435,0.13644,0.02381,1.90412,5.7572,0.23396,0.99898,2.71428,0.000616912,0.000616912,0.000616912
71,981.566,1.46329,5.62024,0.36481,1.23845,2.01947,0.94433,0.92754,0.96122,0.46314,0.40018,0.34783,0.19046,0.03379,1.64503,5.54338,0.20372,0.88819,2.36583,0.000614596,0.000614596,0.000614596
72,995.909,1.46984,5.53239,0.34932,1.22219,2.00656,0.95383,0.94203,0.95635,0.46643,0.43217,0.27536,0.20193,0.04399,1.58742,5.62832,0.237,0.89363,2.30822,0.000612252,0.000612252,0.000612252
73,1009.08,1.48138,5.72636,0.3674,1.20948,2.01609,0.97006,0.93917,0.95526,0.50866,0.44537,0.33333,0.23755,0.04761,1.53047,5.52068,0.25522,0.88574,2.23927,0.000609882,0.000609882,0.000609882
74,1022.47,1.4724,5.83175,0.37598,1.24537,1.99225,0.93812,0.88406,0.93688,0.4331,0.30069,0.27536,0.10317,0.02319,1.77133,5.77998,0.22639,1.01082,2.47151,0.000607485,0.000607485,0.000607485
75,1035.69,1.4729,6.02198,0.36665,1.20341,2.00074,0.96991,0.94203,0.94169,0.41824,0.36677,0.36232,0.21747,0.03872,1.82815,5.56775,0.2088,0.96644,2.52454,0.000605062,0.000605062,0.000605062
76,1050.15,1.40087,5.50759,0.3818,1.13967,1.95038,0.99396,0.94203,0.94817,0.46171,0.32179,0.30435,0.16259,0.03431,1.74447,5.65432,0.22156,0.89416,2.47281,0.000602613,0.000602613,0.000602613
77,1063.48,1.35246,5.63802,0.35605,1.13008,1.91211,0.99679,0.92754,0.9493,0.44689,0.40775,0.33931,0.22181,0.03472,1.76103,5.75546,0.32737,0.87628,2.49394,0.000600138,0.000600138,0.000600138
78,1076.44,1.43735,5.72944,0.37695,1.19257,1.97039,0.94648,0.88406,0.95332,0.48516,0.37452,0.34783,0.18664,0.03284,1.76861,5.78744,0.27049,0.85849,2.43928,0.000597638,0.000597638,0.000597638
79,1089.56,1.38015,5.59142,0.3691,1.08383,1.92769,0.9292,0.88406,0.94016,0.47103,0.36862,0.34783,0.18068,0.04111,1.72293,5.67225,0.23196,0.89312,2.36005,0.000595112,0.000595112,0.000595112
80,1103.13,1.41,5.63633,0.37474,1.13135,1.93104,0.87819,0.82609,0.90522,0.43788,0.33499,0.34783,0.15155,0.0339,1.7907,5.74804,0.2491,0.93965,2.48244,0.000592561,0.000592561,0.000592561
